student_id,age,degree,cgpa,python_score,sql_score,statistics_score,ml_score,dl_score,genai_score,ml_projects,end_to_end_projects,deployed_projects,kaggle_competitions,best_competition_rank,hackathons_attended,hackathons_won,finalist_status,github_projects,internship_months,certifications,ml_interview_score,communication_score,dsa_score,resume_score,mock_interview_score,job_ready,career_track
S100032,20,B.Tech,8.41,9.0,10.0,5.0,5.9,3.7,2.6,2,2,1,3,497.0,6,0,3,4,4,2.0,7.3,6.6,6.4,5.7,8.4,1,2
S100033,21,B.Tech,6.01,7.7,7.8,8.7,6.6,3.5,6.6,0,0,0,0,,4,1,3,4,3,5.0,4.3,8.3,1.0,,3.8,1,1
S100034,22,B.Tech,7.49,9.4,7.4,2.7,9.2,1.1,0.0,3,0,0,1,280.0,2,0,1,3,2,2.0,8.0,6.7,5.8,,7.3,0,5
S100035,23,B.Tech,7.75,6.4,7.0,2.3,7.4,4.1,4.0,2,2,1,1,35.0,2,0,1,6,0,2.0,8.7,7.4,5.6,8.6,7.2,1,3
S100036,23,B.Tech,7.23,10.0,3.8,3.8,8.2,3.6,8.1,0,0,0,1,56.0,5,1,2,7,2,4.0,6.0,,3.6,5.7,3.9,0,5
S100037,24,B.Tech,5.83,5.6,8.4,6.1,4.6,7.1,5.0,5,2,2,1,483.0,1,1,1,5,2,5.0,3.9,8.2,5.9,4.7,5.1,1,0
S100038,25,B.Tech,7.21,5.1,4.1,6.7,4.8,1.9,7.0,5,4,0,1,469.0,4,0,0,3,0,1.0,5.4,7.6,3.1,3.1,5.8,0,5
S100039,20,B.Sc,7.21,4.3,6.4,6.4,5.3,3.2,1.4,2,2,1,1,469.0,2,1,1,4,1,3.0,5.3,4.7,5.4,9.5,9.2,1,0
S100040,22,B.Tech,7.37,10.0,2.5,7.9,5.5,2.5,1.5,2,0,0,0,,6,0,2,6,2,6.0,9.0,7.3,3.0,8.4,5.1,0,5
S100041,20,MCA,6.99,8.0,1.7,2.0,3.8,7.7,8.2,6,2,0,4,326.0,7,1,2,3,1,3.0,5.3,3.7,9.6,,10.0,1,3
S100042,20,M.Tech,7.1,5.9,6.4,7.9,8.3,2.6,5.2,2,1,1,1,115.0,6,2,3,4,1,5.0,8.3,7.3,7.2,7.2,7.3,1,2
S100043,21,B.Tech,7.46,8.7,4.2,4.9,7.6,5.7,5.2,4,1,1,5,341.0,5,0,2,3,3,,5.7,6.0,6.0,,6.5,1,2
S100044,23,MCA,7.9,7.7,1.8,7.0,5.2,6.6,2.5,3,1,0,2,242.0,4,1,1,4,4,1.0,5.6,6.8,3.6,5.1,7.6,1,1
S100045,25,MCA,7.23,10.0,6.9,2.9,7.1,4.2,5.2,3,1,1,2,466.0,4,1,1,4,2,4.0,4.8,7.1,4.9,3.8,2.4,1,4
S100046,24,B.Tech,7.13,3.7,10.0,5.5,6.2,1.5,2.5,5,0,0,2,187.0,3,1,2,3,3,1.0,5.0,7.0,5.0,2.4,8.1,1,0
S100047,23,B.Tech,7.58,6.0,8.6,6.0,7.2,1.5,7.6,2,0,0,0,,5,0,0,1,2,2.0,7.3,9.1,6.0,5.9,3.2,1,4
S100048,24,B.Sc,5.77,5.7,5.3,7.8,3.1,6.4,10.0,4,1,0,1,329.0,5,1,2,2,3,2.0,4.0,,6.3,9.4,7.5,1,4
S100049,21,B.Tech,7.93,2.9,5.8,2.3,5.5,1.7,6.1,4,1,1,1,394.0,1,0,0,5,1,4.0,7.4,6.8,5.9,4.3,4.6,0,5
S100050,25,B.Tech,7.5,8.4,7.6,5.6,5.7,5.4,3.6,2,1,0,1,26.0,4,0,2,4,1,4.0,8.4,8.9,6.2,7.6,4.2,1,1
S100051,25,B.Tech,7.54,6.0,8.0,3.3,7.0,4.8,0.0,3,2,2,5,232.0,0,0,0,4,4,1.0,4.3,9.9,5.2,7.9,9.3,1,2
S100052,20,M.Tech,8.36,7.8,5.1,6.5,4.5,5.3,1.3,4,1,1,0,,2,0,1,6,2,3.0,7.9,6.5,6.2,7.3,5.6,1,2
S100053,22,B.Sc,5.74,10.0,5.9,7.1,0.8,5.5,8.4,1,1,0,1,114.0,1,0,0,3,2,2.0,7.6,5.6,4.2,9.6,2.7,0,5
S100054,24,M.Tech,5.72,5.9,6.4,8.1,3.6,2.4,2.7,4,1,1,5,402.0,2,1,1,4,3,4.0,7.2,5.7,3.4,7.7,7.7,1,0
S100055,22,M.Tech,7.75,5.7,6.9,4.4,5.7,2.4,4.2,2,2,0,2,416.0,6,1,3,5,3,4.0,4.2,7.3,9.2,9.2,3.4,1,2
S100056,25,B.Tech,7.49,6.7,5.5,7.4,5.9,6.1,6.4,6,1,1,3,41.0,2,1,1,6,2,1.0,5.3,6.1,6.3,3.9,8.5,0,5
S100057,25,B.Sc,7.65,8.3,5.6,8.2,9.2,3.1,8.3,4,3,0,0,,4,0,1,3,3,6.0,5.3,3.4,9.1,7.3,5.8,1,4
S100058,22,B.Tech,7.08,5.5,8.6,2.2,7.0,0.0,4.6,2,2,1,3,430.0,0,0,0,4,2,2.0,9.7,8.5,5.0,8.7,3.3,1,2
S100059,20,B.Tech,8.1,5.4,8.2,6.7,6.0,5.9,4.1,2,2,0,3,145.0,4,0,0,2,2,,5.5,8.0,10.0,4.6,7.4,1,0
S100060,22,B.Sc,8.34,8.4,6.8,7.4,5.7,2.2,5.2,6,1,0,1,316.0,4,1,1,7,3,4.0,5.1,8.6,5.7,0.0,6.8,1,1
S100061,21,B.Tech,7.94,7.2,9.2,5.0,8.0,5.5,3.6,2,2,2,0,,2,0,0,5,1,3.0,3.2,8.9,7.8,3.7,1.6,0,5
S100062,22,B.Sc,7.27,2.8,5.0,3.1,4.6,7.6,3.7,0,0,0,1,10.0,1,0,0,4,3,2.0,3.6,6.8,5.6,4.7,5.7,0,5
S100063,23,M.Tech,5.6,4.3,9.0,7.4,5.5,4.5,5.9,3,0,0,2,408.0,3,0,0,5,2,1.0,4.1,,5.8,7.0,6.4,0,5
S100064,22,B.Sc,,9.2,6.9,3.1,3.6,6.7,5.4,3,2,0,0,,4,0,0,2,1,2.0,6.2,8.3,5.3,5.0,6.3,0,5
S100065,21,B.Sc,8.6,7.2,10.0,5.1,8.6,4.8,9.7,6,0,0,3,135.0,1,0,1,4,3,1.0,2.7,4.3,4.5,6.0,5.4,1,4
S100066,21,B.Sc,8.08,5.1,3.4,5.4,6.6,8.0,6.0,4,1,0,3,157.0,4,0,1,5,5,2.0,4.2,5.9,7.5,4.9,7.3,1,1
S100067,24,B.Tech,6.71,6.2,4.4,6.9,4.4,2.2,7.5,1,1,0,1,384.0,5,1,2,6,0,2.0,1.8,6.4,5.5,5.8,6.9,0,5
S100068,20,B.Tech,8.11,6.5,6.6,4.2,5.6,4.5,2.6,3,1,0,3,401.0,3,1,1,5,4,2.0,8.3,8.2,7.2,5.9,5.9,1,3
S100069,21,B.Tech,8.27,7.8,6.6,4.1,6.8,6.0,6.2,2,0,0,2,37.0,5,3,3,3,2,4.0,5.7,5.5,7.3,4.9,5.3,0,5
S100070,25,B.Tech,8.9,4.1,9.7,5.7,5.3,4.1,3.4,3,3,0,2,180.0,5,0,3,2,0,2.0,6.1,5.2,8.3,7.5,6.1,0,5
S100071,20,B.Tech,6.71,5.0,4.5,7.5,4.7,7.0,5.9,4,1,0,3,312.0,3,1,1,5,3,4.0,3.3,5.7,6.3,8.5,4.6,0,5
S100072,22,MCA,7.3,7.0,7.6,10.0,4.5,3.5,6.5,1,1,1,3,64.0,6,1,3,3,3,2.0,7.8,7.3,2.5,,3.8,1,0
S100073,21,B.Tech,8.17,6.3,8.1,2.5,6.5,9.1,5.1,1,1,0,2,499.0,0,0,0,10,2,,8.5,6.4,4.9,,3.6,1,3
S100074,20,B.Tech,7.55,7.5,7.2,6.1,5.1,9.2,10.0,2,0,0,3,105.0,4,0,1,3,1,1.0,5.6,3.9,5.4,,5.6,0,5
S100075,22,B.Tech,6.49,4.3,3.9,3.3,4.9,5.1,8.1,5,2,1,0,,3,0,0,3,4,1.0,4.5,4.2,5.5,2.8,4.1,1,2
S100076,23,B.Tech,7.87,7.1,8.6,7.5,3.1,5.7,7.6,6,2,0,4,33.0,7,1,3,7,4,4.0,6.6,6.7,8.1,7.9,5.5,1,0
S100077,21,B.Sc,8.02,8.5,8.3,3.6,6.0,7.1,6.7,6,2,0,0,,1,0,1,2,1,2.0,7.0,6.8,7.8,9.6,8.5,1,3
S100078,20,B.Sc,7.58,7.4,7.0,4.2,5.4,1.9,8.9,2,1,1,0,,4,0,2,2,1,1.0,7.2,6.5,5.2,5.4,5.4,0,5
S100079,20,M.Tech,7.7,6.8,6.2,4.3,5.2,1.6,1.8,5,0,0,0,,2,0,0,8,1,4.0,6.8,5.7,10.0,9.3,6.1,0,5
S100080,23,B.Sc,7.27,6.3,6.3,5.3,6.2,7.3,8.0,2,0,0,1,180.0,2,1,1,5,0,1.0,7.4,7.9,4.8,4.8,5.3,0,5
S100081,25,B.Tech,8.83,5.0,5.6,6.1,7.3,5.1,2.8,6,1,1,0,,2,0,1,1,2,2.0,4.1,7.2,5.0,5.6,8.4,1,2
S100082,21,MCA,6.69,6.4,7.1,6.5,7.2,4.0,3.8,2,1,0,1,55.0,1,0,0,1,5,2.0,7.3,7.1,3.3,9.0,9.1,1,0
S100083,21,B.Tech,6.97,8.8,5.9,5.5,6.9,4.5,6.2,3,0,0,3,338.0,3,0,0,4,2,4.0,4.6,7.2,2.4,4.4,4.9,1,1
S100084,22,B.Tech,7.51,6.3,4.1,2.8,5.3,0.0,7.7,2,0,0,0,,0,0,0,5,0,4.0,0.5,9.4,3.1,7.7,7.3,0,5
S100085,22,B.Tech,8.29,4.9,3.7,7.0,4.7,4.1,2.5,0,0,0,1,161.0,3,1,2,3,2,2.0,4.6,4.7,7.5,5.4,10.0,0,5
S100086,21,M.Tech,6.15,5.6,4.3,5.4,3.7,2.8,3.9,4,0,0,2,236.0,6,2,3,5,0,2.0,4.4,5.7,7.0,4.7,3.5,0,5
S100087,20,B.Tech,6.32,6.9,6.2,7.8,4.6,6.5,5.2,3,3,1,2,276.0,6,2,5,5,2,5.0,6.0,5.9,3.7,5.1,7.8,1,2
S100088,23,B.Tech,5.67,5.8,5.7,4.1,5.8,6.7,4.6,4,3,0,0,,4,1,4,3,1,,7.2,8.8,5.7,2.1,2.3,0,5
S100089,22,B.Tech,7.53,7.4,6.2,2.3,4.2,5.8,6.9,4,0,0,2,270.0,3,0,0,1,2,2.0,5.9,5.8,7.1,8.3,5.9,0,5
S100090,22,B.Tech,6.49,7.4,6.8,5.4,6.0,5.4,10.0,0,0,0,0,,5,1,1,4,0,2.0,9.5,5.1,1.4,6.4,5.5,0,5
S100091,21,B.Sc,7.15,8.1,4.5,8.1,3.9,1.2,5.9,5,1,1,3,272.0,1,0,0,2,4,3.0,4.4,6.3,9.0,5.7,2.4,0,5
S100092,25,B.Tech,8.1,9.1,8.7,5.8,2.5,5.8,3.4,1,0,0,1,174.0,5,2,2,6,2,7.0,1.5,6.7,7.6,4.8,8.0,0,5
S100093,23,B.Tech,6.92,8.3,5.3,5.1,7.4,5.9,2.1,2,0,0,2,206.0,4,0,0,4,2,5.0,6.1,8.7,7.1,6.6,6.1,1,1
S100094,22,B.Tech,7.71,4.8,4.9,3.8,4.9,7.2,4.3,6,0,0,1,186.0,1,0,1,1,1,2.0,4.4,5.8,7.9,7.6,3.9,0,5
S100095,21,B.Sc,7.23,4.9,6.8,9.0,4.1,9.2,2.9,3,1,1,2,177.0,3,0,0,3,5,1.0,3.3,5.3,1.4,5.5,6.5,0,5
S100096,24,B.Tech,8.1,6.4,2.1,3.4,3.6,0.8,6.0,1,1,1,2,118.0,2,1,1,3,2,3.0,4.9,4.9,5.1,7.7,7.6,1,4
S100097,25,B.Tech,7.93,5.7,4.2,4.0,6.6,3.6,6.0,3,3,0,4,165.0,2,0,0,0,0,0.0,3.9,5.9,8.0,6.5,2.3,0,5
S100098,20,B.Tech,6.88,4.5,7.8,6.6,8.5,2.9,4.0,2,1,0,1,356.0,3,1,1,3,2,1.0,4.1,10.0,5.5,5.8,0.0,0,5
S100099,25,BCA,7.35,5.7,2.3,1.8,5.0,4.9,9.4,1,1,1,3,113.0,4,2,4,9,1,2.0,8.5,7.2,7.0,7.6,5.7,1,4
S100100,24,MCA,8.44,5.6,8.0,8.0,5.4,4.5,3.4,4,1,0,2,379.0,4,0,2,2,2,1.0,5.7,7.6,8.4,5.1,4.3,1,0
S100101,20,B.Sc,7.85,5.3,8.8,6.7,7.9,4.0,4.7,2,1,0,0,,3,1,1,6,1,3.0,5.0,,6.9,3.7,8.5,0,5
S100102,24,B.Tech,6.24,5.9,5.1,7.3,2.2,6.8,6.4,4,0,0,1,305.0,8,1,2,5,3,6.0,8.7,6.7,5.0,5.9,5.1,1,0
S100103,20,BCA,8.09,8.6,6.4,6.6,9.7,2.1,7.0,3,3,1,2,59.0,3,0,2,3,1,2.0,4.9,,6.7,6.1,6.4,1,2
S100104,20,M.Tech,6.52,6.9,8.0,5.2,10.0,2.2,7.8,2,2,1,4,104.0,3,0,1,4,2,3.0,3.0,7.5,2.2,5.6,5.4,0,5
S100105,20,M.Tech,8.77,10.0,4.9,3.4,0.4,2.2,5.9,1,0,0,1,450.0,3,1,2,1,1,1.0,2.8,7.1,6.5,8.1,2.7,0,5
S100106,22,B.Tech,8.42,6.8,7.5,5.2,5.6,3.7,7.3,3,3,0,1,415.0,4,0,1,5,2,1.0,5.3,6.5,7.0,6.9,5.9,1,2
S100107,23,B.Tech,7.76,6.0,4.5,3.5,4.4,1.8,3.5,1,0,0,1,35.0,1,0,0,1,5,5.0,2.2,5.9,5.8,5.8,3.1,0,5
S100108,22,B.Tech,7.64,6.5,4.8,6.5,5.3,4.4,7.0,3,0,0,1,451.0,3,1,1,7,2,1.0,3.2,7.3,7.8,6.0,3.0,1,4
S100109,20,MCA,7.31,7.0,4.2,7.1,5.0,4.1,7.0,3,2,0,1,418.0,4,0,1,5,3,4.0,4.7,6.7,6.1,6.1,3.6,1,4
S100110,21,B.Tech,8.11,7.3,6.5,8.5,7.4,2.8,8.3,2,0,0,0,,0,0,0,3,4,4.0,7.8,,5.8,6.9,3.4,1,4
S100111,25,B.Tech,7.17,10.0,8.1,6.2,5.6,6.4,1.3,0,0,0,2,121.0,2,0,1,0,4,1.0,8.1,8.4,9.2,6.1,5.4,1,1
S100112,25,B.Tech,7.71,5.0,5.4,7.3,4.0,4.4,3.0,3,2,1,1,89.0,2,0,0,4,0,3.0,6.8,5.3,3.6,5.7,5.0,0,5
S100113,24,B.Sc,8.28,8.0,3.3,4.9,5.5,6.8,6.8,2,1,0,3,426.0,3,0,1,1,1,2.0,5.5,4.4,8.3,3.6,6.4,1,4
S100114,20,B.Tech,6.99,6.9,3.6,4.5,6.8,4.1,0.0,2,0,0,3,427.0,3,2,3,2,2,5.0,4.4,5.8,8.1,4.7,2.7,0,5
S100115,24,MCA,6.95,3.7,6.6,6.4,3.4,4.4,6.1,4,1,1,5,360.0,5,0,2,4,2,1.0,6.3,4.6,7.2,6.5,5.3,1,3
S100116,24,M.Tech,6.43,7.9,9.5,4.7,2.5,3.3,7.3,0,0,0,1,125.0,3,1,2,4,1,0.0,9.1,,4.7,6.3,4.8,0,5
S100117,23,M.Tech,6.54,8.8,6.6,6.0,9.8,4.5,3.7,2,0,0,1,460.0,3,1,1,3,1,4.0,5.8,4.8,6.2,3.3,6.2,0,5
S100118,20,B.Tech,5.85,5.0,5.0,3.4,4.5,6.1,4.1,0,0,0,3,423.0,4,0,1,5,2,1.0,4.6,5.9,3.9,5.0,6.3,0,5
S100119,25,B.Sc,8.16,6.5,7.3,3.7,5.5,3.6,2.6,2,2,0,3,435.0,2,0,1,2,4,,5.2,5.9,4.4,4.3,6.1,0,5
S100120,22,B.Sc,,3.4,5.3,6.8,5.0,5.6,3.9,4,1,1,0,,0,0,0,3,3,3.0,5.0,6.8,5.8,8.5,3.8,0,5
S100121,20,B.Sc,8.78,4.2,5.0,7.3,6.9,2.7,3.9,3,0,0,1,350.0,1,1,1,7,1,2.0,6.6,6.1,3.7,6.5,5.8,0,5
S100122,21,B.Tech,6.04,8.4,3.9,3.5,9.3,6.2,3.5,3,0,0,1,338.0,4,1,3,7,1,2.0,4.0,4.9,5.0,6.8,4.8,0,5
S100123,22,B.Tech,8.15,5.7,8.6,6.8,7.0,3.2,3.4,4,2,1,0,,2,0,2,2,0,1.0,6.3,8.7,3.3,5.9,8.4,1,0
S100124,20,B.Tech,8.78,4.5,0.7,4.4,2.8,6.4,4.4,4,1,1,1,291.0,2,1,2,5,0,4.0,6.6,7.2,6.8,4.9,6.0,0,5
S100125,21,B.Tech,7.09,6.9,7.4,5.5,3.0,4.6,4.4,1,0,0,2,274.0,3,1,1,5,2,4.0,6.2,5.5,8.8,5.2,6.0,0,5
S100126,22,B.Tech,7.59,5.6,4.9,8.3,5.0,7.8,9.1,2,0,0,0,,8,2,4,4,3,2.0,3.3,4.9,9.9,6.9,3.2,1,3
S100127,25,B.Tech,5.69,5.7,5.0,7.1,5.3,2.0,4.1,0,0,0,1,170.0,1,0,0,1,2,1.0,5.2,3.9,3.4,5.5,4.6,0,5
S100128,20,B.Tech,7.74,7.8,9.2,7.1,2.4,1.3,5.8,3,1,0,1,334.0,1,0,0,5,2,2.0,4.4,3.7,3.8,6.9,6.3,0,5
S100129,23,B.Sc,6.54,4.4,4.4,9.3,7.4,3.1,3.7,4,1,0,2,443.0,2,0,0,8,1,1.0,5.4,8.4,5.4,6.3,5.6,0,5
S100130,25,B.Tech,7.68,4.9,4.4,4.1,3.6,1.5,3.7,3,1,1,7,302.0,3,0,1,2,2,3.0,4.2,8.2,7.1,6.5,5.6,0,5
S100131,24,BCA,6.09,6.8,5.5,3.5,8.8,1.5,1.3,5,3,0,2,436.0,5,2,3,0,2,2.0,8.0,5.4,5.3,6.6,2.3,1,2
S100132,25,B.Sc,7.99,8.2,6.6,4.1,9.4,5.9,1.5,2,2,0,1,386.0,4,0,1,1,0,4.0,5.9,9.0,7.7,5.1,4.2,1,3
S100133,21,B.Tech,8.42,8.7,4.9,5.0,5.3,4.5,2.3,1,1,1,1,157.0,2,1,1,5,2,1.0,2.3,7.6,6.8,5.4,5.3,1,2
S100134,24,B.Sc,6.8,5.3,2.7,0.8,6.7,3.4,5.4,4,2,0,1,368.0,9,1,3,8,4,5.0,2.8,6.9,2.2,,8.2,1,3
S100135,25,B.Tech,6.48,8.2,4.1,5.1,3.3,3.6,7.4,1,1,0,1,336.0,1,0,0,3,1,2.0,7.9,8.1,5.8,9.3,2.0,0,5
S100136,21,BCA,5.56,5.1,8.4,4.4,7.0,3.2,1.1,1,1,1,1,471.0,8,2,4,0,3,0.0,5.1,7.6,3.2,,3.7,0,5
S100137,22,B.Tech,7.26,9.8,5.9,7.1,4.8,8.1,3.8,2,1,0,1,169.0,4,1,1,8,2,3.0,4.7,6.8,4.6,1.0,2.0,0,5
S100138,23,M.Tech,6.98,4.5,6.7,6.2,3.6,2.9,2.0,1,0,0,2,82.0,4,0,1,5,1,2.0,7.8,6.1,4.9,4.6,6.5,0,5
S100139,22,B.Tech,6.1,8.9,5.3,4.3,5.2,1.6,4.4,1,0,0,2,339.0,4,1,1,5,2,1.0,5.2,6.3,7.2,6.2,8.2,1,1
S100140,21,B.Tech,7.91,5.3,4.5,6.7,4.9,6.3,7.4,8,0,0,1,316.0,4,0,2,4,4,2.0,3.1,3.6,5.7,4.0,6.5,1,4
S100141,25,B.Tech,7.1,10.0,9.2,6.9,5.1,4.0,4.0,2,0,0,1,307.0,5,0,1,1,0,1.0,3.2,5.1,4.8,3.9,7.0,0,5
S100142,25,BCA,6.53,7.6,5.4,4.0,7.7,9.0,4.9,4,3,0,3,370.0,4,0,2,0,2,1.0,6.8,9.7,9.9,5.2,3.7,1,2
S100143,22,B.Sc,7.0,4.7,4.9,4.5,4.2,3.3,8.2,4,1,0,3,255.0,2,2,2,2,2,2.0,9.6,5.0,3.9,6.6,6.5,0,5
S100144,24,B.Tech,8.46,5.6,8.0,1.0,9.3,6.4,6.0,3,3,0,0,,4,2,2,5,2,1.0,7.2,3.2,6.3,7.1,4.3,1,2
S100145,22,B.Tech,8.04,7.9,4.4,3.3,3.1,6.9,3.3,1,1,0,0,,3,0,0,2,2,2.0,4.7,,7.1,5.3,5.9,0,5
S100146,24,B.Tech,7.38,8.4,4.6,4.0,9.0,3.4,5.3,6,1,1,2,139.0,4,1,1,1,0,4.0,5.0,6.9,6.1,5.2,6.8,1,1
S100147,23,B.Tech,8.06,6.4,5.8,5.6,3.8,2.9,3.2,6,3,1,1,123.0,4,0,1,3,5,3.0,5.6,7.0,3.9,4.5,5.2,1,2
S100148,22,B.Tech,6.46,6.6,5.8,3.6,5.8,6.1,5.9,7,5,2,2,407.0,5,0,2,3,1,1.0,1.5,6.2,3.8,6.9,7.4,1,2
S100149,20,B.Tech,7.53,7.9,6.3,4.5,4.8,5.8,6.1,3,1,1,4,398.0,2,0,0,3,1,2.0,5.5,8.1,7.0,,5.5,1,4
S100150,23,MCA,7.63,6.7,10.0,3.0,5.1,1.4,2.0,3,2,0,0,,4,1,2,5,2,5.0,6.7,9.3,7.8,7.6,6.3,1,0
S100151,21,MCA,7.08,4.2,6.5,5.8,7.4,2.0,5.4,4,0,0,0,,2,1,1,6,6,2.0,9.0,5.6,5.6,6.2,9.6,1,1
S100152,21,B.Tech,7.89,5.0,1.0,6.4,8.8,0.0,4.7,4,1,0,2,41.0,8,0,2,5,5,3.0,7.7,7.6,3.1,3.6,6.8,1,2
S100153,21,B.Sc,6.8,6.9,6.5,6.3,8.2,5.8,6.2,2,2,1,4,141.0,2,0,1,8,0,0.0,9.4,8.5,5.7,5.4,4.3,1,1
