student_id,age,gender,cgpa,attendance_percentage,backlogs,coding_score,aptitude_score,communication_score,technical_score,projects_count,major_projects,internships_count,internship_months,certifications_count,hackathons_participated,hackathons_won,coding_platform_score,github_projects,linkedin_score,resume_score,soft_skills_score,leadership_score,extracurricular_score,training_hours,mock_interview_score,preferred_domain,placed
STU109032,24,Female,6.82,78.8,1,48.1,22.3,52.3,53.7,3,2,1,3.9,2,1,0,949,5,60.2,69.9,60.6,47.4,50.4,68.1,86.8,Data Science,0
STU104825,23,Female,6.16,67.2,1,20.5,56.2,59.9,49.8,2,0,0,0.8,2,3,0,674,1,46.0,81.7,73.2,60.6,63.3,43.3,,Data Science,0
STU104558,22,Female,8.87,73.9,2,72.5,,100.0,87.2,4,1,0,0.0,1,1,0,964,4,46.8,47.9,94.4,37.7,45.2,35.3,91.4,Business Analytics,0
STU107465,22,Female,6.53,79.8,0,37.5,41.3,77.5,35.1,3,2,1,5.3,3,1,0,603,3,57.3,79.9,73.5,52.5,51.3,,76.6,Software Development,0
STU107870,22,Male,7.05,,0,45.7,73.5,70.7,45.1,1,0,1,3.2,4,0,0,512,1,73.0,62.1,75.3,72.8,68.7,37.2,80.8,Business Analytics,0
STU102316,22,Male,6.95,82.1,0,50.4,48.8,68.3,43.5,1,0,0,0.0,4,0,0,558,1,69.8,58.8,64.0,66.9,59.1,58.0,87.9,Business Analytics,0
STU104896,22,Male,8.0,73.5,0,64.4,66.2,78.8,62.5,0,0,1,2.4,3,2,0,379,0,55.8,75.6,87.1,44.7,57.7,10.3,86.1,Software Development,0
STU107216,20,Male,7.4,75.8,1,15.0,55.9,81.1,35.7,0,0,2,6.5,3,1,1,841,1,79.5,47.3,80.5,53.2,61.7,,80.5,Cloud Computing,0
STU108092,26,Female,7.0,90.5,2,50.4,44.8,49.5,59.4,3,1,1,5.2,3,0,0,698,6,65.5,38.7,58.0,65.9,87.9,34.8,83.3,AI/ML,0
STU102198,22,Female,9.12,72.0,0,79.8,57.4,49.5,77.1,0,0,0,0.2,1,0,0,791,0,46.3,53.7,60.8,55.4,80.1,47.6,,Business Analytics,1
STU107193,23,Male,7.76,64.1,1,49.6,53.6,48.9,52.9,3,1,0,0.8,1,1,0,1143,3,52.7,53.2,62.5,26.4,20.8,54.3,91.9,Data Science,0
STU101807,22,Male,6.86,73.3,0,33.7,49.8,54.5,35.2,1,0,3,15.3,1,2,0,511,1,44.9,49.9,72.5,40.7,49.3,40.1,78.2,Software Development,1
STU106332,22,Female,8.18,78.8,0,41.0,76.4,41.2,39.4,6,2,0,0.0,3,0,0,204,5,64.8,83.7,54.1,54.6,62.0,20.0,71.0,Software Development,0
STU106608,22,Male,7.77,87.6,2,44.3,73.8,54.2,65.4,4,2,1,5.1,2,0,0,983,6,73.7,53.1,78.9,61.3,70.1,60.3,80.4,Cyber Security,0
STU100483,22,Male,8.41,,0,57.1,43.2,42.8,87.1,2,1,0,0.8,2,1,0,943,2,68.8,61.1,80.9,49.6,37.2,45.9,69.9,Business Analytics,0
STU102491,23,Male,6.99,91.9,0,36.1,74.9,71.6,41.0,2,0,2,6.6,2,2,1,713,1,64.3,,68.4,43.5,59.2,136.0,71.1,AI/ML,1
STU101334,22,Female,7.63,67.7,0,27.2,58.4,78.6,56.0,1,0,1,4.7,4,0,0,826,1,56.8,65.3,71.8,62.9,74.6,31.2,81.4,Software Development,0
STU104218,22,Female,7.99,94.2,0,52.2,86.7,58.7,66.1,2,1,1,6.2,0,0,0,761,3,65.8,52.9,66.0,45.0,76.6,105.6,79.0,AI/ML,0
STU104054,21,Male,8.01,79.5,0,57.3,60.3,51.3,55.1,1,1,1,4.3,2,1,0,933,2,61.4,53.6,66.4,15.0,76.6,139.5,76.5,Business Analytics,0
STU104126,22,Male,8.7,66.6,0,57.2,70.1,,70.1,4,2,4,24.0,2,0,0,934,5,70.3,54.2,80.5,66.8,52.1,20.2,70.2,Data Science,0
STU105370,24,Male,6.03,67.8,0,56.9,33.9,21.8,25.2,5,1,3,13.1,0,0,0,922,8,57.8,80.2,69.9,47.6,58.0,84.4,57.1,Business Analytics,0
STU109853,21,Female,7.37,84.6,1,49.4,66.8,49.0,61.6,3,0,1,2.5,1,2,0,460,4,55.9,48.9,66.9,40.7,43.6,52.1,87.3,Cyber Security,1
STU107699,21,Male,6.66,80.8,1,53.0,63.1,42.0,43.4,3,0,0,2.2,2,0,0,531,4,,69.7,77.9,34.2,60.5,59.8,79.2,Data Science,0
STU105461,22,Female,7.8,69.5,0,50.7,51.8,36.0,57.6,4,1,1,4.0,2,2,0,953,3,,88.3,,38.6,45.7,74.5,66.4,AI/ML,0
STU100093,21,Male,7.91,72.2,0,66.4,58.1,30.8,69.9,1,1,0,0.0,1,0,0,679,1,58.0,60.2,65.7,20.5,59.8,50.2,52.0,Software Development,0
STU108546,21,Male,7.78,86.4,1,71.3,51.8,72.4,69.9,3,2,1,5.7,3,1,0,1102,3,57.2,63.6,67.2,62.6,82.7,51.8,83.1,Software Development,0
STU108764,21,Male,7.73,90.7,2,60.6,72.5,47.4,43.2,2,1,0,0.0,2,1,0,638,1,63.5,64.2,62.0,46.7,57.9,52.3,72.5,Business Analytics,0
STU102678,22,Male,7.01,84.5,2,32.0,55.9,34.9,31.0,2,2,0,0.5,3,1,0,859,2,61.2,67.4,62.9,43.3,51.3,136.4,58.1,Software Development,0
STU103338,22,Male,9.04,74.0,2,94.5,56.6,,60.4,5,1,2,7.5,0,2,0,1207,4,75.3,55.6,49.2,49.0,55.8,66.8,50.5,Software Development,1
STU101199,23,Female,9.18,84.3,2,72.6,86.4,57.4,91.1,2,0,1,5.0,2,2,1,1344,1,75.9,48.7,79.3,24.3,65.5,62.3,82.3,Data Science,0
STU101039,23,Female,6.6,75.6,0,30.5,42.7,49.1,49.4,2,1,2,7.3,3,1,1,100,1,66.9,72.1,61.9,41.0,56.7,50.3,80.7,Data Science,0
STU108581,20,Male,7.47,71.4,0,64.9,57.0,38.4,52.7,1,0,0,0.4,5,2,1,181,0,52.8,62.3,65.0,52.8,39.6,39.9,69.2,Business Analytics,1
STU106631,22,Female,7.62,,0,30.4,93.8,58.3,47.1,4,2,1,4.8,0,1,0,845,4,63.0,61.9,79.9,55.0,39.7,37.4,72.4,AI/ML,0
STU104757,22,Female,5.43,85.7,1,53.4,45.3,46.9,15.0,3,0,0,0.0,2,2,0,958,3,71.4,52.1,72.2,45.3,52.2,38.0,58.9,AI/ML,1
STU101435,22,Male,7.93,78.3,0,35.2,57.4,61.9,69.2,3,1,1,4.3,1,0,0,477,2,59.7,64.4,79.4,39.9,81.8,48.5,,Cloud Computing,0
STU108282,21,Female,7.34,74.0,1,43.8,65.9,,49.5,2,0,1,2.8,1,0,0,676,2,48.4,65.2,58.0,41.9,35.9,77.0,65.0,Data Science,0
STU106084,20,Male,9.99,73.2,0,74.6,62.6,57.3,79.6,1,0,0,1.0,2,1,0,604,3,58.8,55.0,63.0,44.1,62.9,,61.8,Software Development,1
STU104787,20,Female,8.12,85.7,1,85.0,60.4,59.9,64.5,3,0,0,0.1,3,3,0,1400,3,,76.8,63.0,69.9,84.6,,80.3,Software Development,0
STU109753,22,Female,7.32,88.9,0,59.9,70.0,66.0,41.7,3,0,2,7.5,1,3,1,1057,4,59.6,36.9,75.5,69.6,54.9,59.7,71.7,AI/ML,0
STU109906,20,Male,7.33,82.5,0,54.9,41.6,69.7,64.4,1,1,0,0.0,0,0,0,892,2,54.9,61.1,82.6,48.6,50.6,80.9,77.5,Software Development,0
STU104407,21,Female,7.59,83.2,0,51.5,69.9,62.0,76.1,4,1,4,8.8,1,2,0,689,4,63.3,61.3,76.1,54.6,48.4,76.5,80.0,Cyber Security,1
STU106312,23,Male,6.71,76.2,0,68.9,79.4,54.3,59.2,3,1,0,0.0,1,1,0,382,3,58.8,38.2,62.9,48.6,47.7,37.1,87.1,AI/ML,0
STU109434,21,Male,7.14,84.3,0,63.0,51.8,78.0,62.1,2,1,4,9.8,1,1,0,1051,3,74.9,59.8,69.9,21.9,46.2,37.1,68.9,Data Science,0
STU105369,22,Female,8.26,70.0,0,46.4,59.0,79.6,54.5,2,0,2,10.3,2,1,0,814,4,63.2,52.9,81.3,48.0,49.8,44.1,79.9,AI/ML,0
STU105626,23,Other,7.94,82.7,1,55.7,40.5,69.3,42.8,4,1,2,9.7,2,1,0,479,4,59.8,65.7,74.8,58.1,32.7,95.3,74.2,Data Science,0
STU102457,23,Male,7.7,86.9,0,59.3,57.5,41.1,66.8,2,1,1,2.8,1,3,0,785,1,62.1,49.0,66.7,64.9,43.7,47.9,54.5,Software Development,0
STU102300,21,Male,6.6,63.1,1,34.2,41.6,,41.3,2,2,2,3.9,3,1,0,929,2,73.3,60.3,73.6,51.4,64.3,88.8,82.7,Cyber Security,1
STU105400,23,Female,7.3,84.4,1,62.1,66.1,44.5,55.9,2,1,2,11.7,2,0,0,545,1,83.1,58.2,54.6,44.1,53.9,105.1,63.4,Cloud Computing,0
STU106141,24,Female,6.68,83.1,0,54.5,48.0,60.5,46.8,1,1,1,1.0,2,2,0,1340,1,68.8,53.3,78.2,77.2,64.6,72.2,91.5,Software Development,1
STU102766,21,Male,6.95,77.2,0,40.6,38.5,40.2,30.8,1,0,1,6.3,3,2,1,897,0,61.2,39.3,57.8,37.0,44.7,59.3,54.5,Software Development,0
STU107851,22,Female,5.0,87.4,1,39.2,40.0,78.5,19.5,0,0,0,1.9,4,2,0,889,0,61.4,58.2,81.0,45.2,49.1,55.9,69.9,Business Analytics,1
STU105658,21,Female,7.46,88.6,2,48.0,53.5,72.5,31.1,2,2,2,5.4,0,0,0,1115,3,64.9,49.6,76.5,63.2,69.7,93.4,81.2,AI/ML,0
STU109614,23,Female,5.23,69.5,0,,40.6,46.5,21.0,4,2,0,1.1,5,1,0,701,3,75.5,77.6,65.1,52.9,10.0,84.3,61.3,Software Development,0
STU109583,23,Male,6.9,72.8,1,43.3,47.2,40.7,40.6,2,0,1,1.3,1,2,1,680,4,48.8,56.9,54.3,59.6,65.2,19.4,56.1,Software Development,0
STU101649,22,Male,7.83,87.8,1,72.5,66.6,55.5,66.1,2,1,1,6.3,1,2,0,921,3,50.7,54.2,75.3,31.8,70.7,25.1,82.7,AI/ML,0
STU105210,20,Male,7.76,76.3,0,37.7,83.5,90.6,72.2,3,2,0,0.0,2,2,1,497,3,64.3,57.4,83.7,69.6,38.2,49.0,75.8,Software Development,0
STU103051,23,Female,8.9,88.5,0,53.1,66.1,70.9,81.6,2,1,0,0.0,1,0,0,719,3,57.6,63.0,76.9,38.4,52.8,63.1,90.3,Business Analytics,0
STU104335,22,Male,6.67,62.4,3,52.0,47.2,43.4,56.4,1,0,0,1.3,2,0,0,858,0,63.7,46.6,54.2,56.4,69.9,45.1,68.9,Cloud Computing,0
STU100336,20,Female,8.15,76.7,0,70.0,52.6,57.7,54.3,2,0,1,3.1,2,2,0,899,1,62.3,58.9,71.8,50.0,41.9,53.7,59.9,Data Science,0
STU109472,21,Male,6.98,85.5,1,38.9,45.0,39.7,35.5,0,0,0,0.0,6,1,0,633,0,,67.7,49.0,63.6,49.4,55.1,47.2,AI/ML,0
STU109014,22,Male,7.14,74.2,0,41.7,75.3,66.1,51.1,2,1,3,11.8,4,3,0,100,1,71.9,51.7,75.6,54.7,68.7,89.2,73.4,Data Science,1
STU108994,23,Male,8.5,69.1,1,50.0,51.0,59.3,49.6,1,1,0,0.0,3,4,0,491,1,69.8,52.8,74.8,88.7,49.8,60.5,61.4,Data Science,0
STU107447,22,Female,7.42,81.3,1,27.6,53.5,49.7,57.9,3,1,0,1.2,4,1,0,753,3,74.4,67.2,67.5,76.5,82.6,45.4,65.4,Software Development,0
STU109218,23,Male,7.57,81.6,0,35.5,47.2,77.1,58.3,1,0,0,0.0,1,1,0,524,1,67.9,54.7,84.9,56.5,73.4,53.0,76.9,Software Development,0
STU109811,21,Male,6.63,87.5,0,42.7,38.8,59.5,46.7,3,1,1,0.1,5,3,1,685,4,,71.1,82.3,59.7,18.9,64.4,67.6,Business Analytics,0
STU101981,22,Male,8.64,81.6,0,63.4,52.4,47.1,79.1,2,1,1,4.5,4,1,0,1033,3,76.3,52.1,67.5,59.9,77.3,61.3,67.0,Data Science,0
STU109292,22,Female,7.25,91.2,0,62.0,45.5,71.6,52.9,4,0,3,16.3,3,2,1,694,4,61.8,72.3,80.7,43.9,31.1,68.3,72.9,Cloud Computing,0
STU100794,22,Female,7.63,72.8,0,44.1,48.1,60.8,41.9,1,0,1,4.2,3,0,0,542,1,89.0,49.0,97.7,63.6,46.3,21.5,72.6,Business Analytics,1
STU101146,22,Male,6.88,,1,32.3,65.5,55.7,41.4,5,2,1,3.2,1,1,0,658,4,62.4,70.8,73.4,41.4,65.7,34.4,78.2,Data Science,1
STU107105,21,Female,7.54,82.4,0,53.5,78.7,70.9,83.5,2,1,1,0.8,2,1,0,791,2,53.3,71.6,82.6,49.0,74.5,16.8,76.6,Software Development,0
STU100938,22,Female,9.14,77.5,2,96.6,77.7,62.6,85.0,4,1,1,3.7,0,0,0,974,6,65.5,59.9,92.5,41.9,77.5,32.8,93.9,Software Development,0
STU103387,22,Male,7.4,79.9,1,61.6,49.7,40.4,33.9,1,0,1,5.1,2,1,1,340,2,68.1,70.0,71.5,30.1,69.1,40.6,54.4,Data Science,0
STU103446,21,Male,6.73,84.4,1,61.4,60.7,70.6,46.0,4,1,1,3.9,1,0,0,663,5,58.2,68.4,61.8,41.0,58.1,60.8,88.4,Cloud Computing,0
STU105351,21,Female,7.27,87.8,0,39.5,26.8,59.4,48.5,2,1,0,0.7,2,0,0,898,1,70.8,63.0,90.1,50.9,63.0,79.5,56.5,Cloud Computing,0
STU103549,21,Female,9.12,81.0,0,55.8,82.0,56.8,57.9,1,1,0,0.0,1,0,0,959,1,51.5,61.9,93.7,52.8,37.0,51.9,70.5,Data Science,0
STU108610,21,Male,6.53,94.2,2,52.4,30.8,39.2,49.0,1,0,1,5.0,2,1,1,956,0,65.7,56.8,74.2,46.5,61.0,39.3,65.8,AI/ML,1
STU104942,21,Female,5.9,81.0,1,56.8,64.1,41.3,29.7,2,1,2,10.2,5,1,0,865,3,63.1,47.7,78.7,74.2,48.8,103.7,64.5,Cloud Computing,1
STU103738,23,Male,7.56,70.1,1,71.2,28.8,,46.8,3,1,1,3.8,2,2,2,1024,3,63.6,62.5,59.9,58.6,77.2,29.0,65.1,Business Analytics,0
STU107381,22,Male,6.1,95.3,1,47.7,29.1,82.3,,1,1,2,9.4,2,1,0,245,3,61.7,47.7,78.2,33.7,49.7,55.8,72.7,Software Development,0
STU101277,21,Male,6.19,80.2,0,43.1,53.3,66.2,38.1,4,2,0,0.0,2,0,0,608,4,65.2,62.2,61.5,28.8,64.0,,77.9,Business Analytics,0
STU104295,22,Male,7.89,83.9,0,40.0,60.0,62.2,53.9,3,0,1,1.8,1,1,0,633,2,66.2,58.4,81.7,45.6,38.8,90.0,77.9,Cloud Computing,1
STU106152,21,Male,6.06,76.7,0,26.6,39.3,52.7,48.5,4,1,3,13.9,4,1,0,424,3,83.1,76.2,71.9,64.0,55.3,99.8,,AI/ML,0
STU106381,21,Male,7.83,76.3,0,90.8,47.8,63.9,49.2,0,0,2,10.6,2,1,0,635,2,69.7,47.2,73.9,82.2,43.7,42.0,66.7,Business Analytics,0
STU105402,23,Female,9.11,80.4,0,46.6,51.4,52.5,74.2,0,0,0,2.3,2,1,0,307,0,58.3,72.8,61.1,53.6,27.9,122.9,70.5,Cloud Computing,1
STU105088,21,Male,7.57,67.2,1,61.6,45.7,49.6,46.8,3,0,0,0.0,2,1,0,733,4,57.1,59.6,58.7,49.0,91.5,55.9,,Cloud Computing,0
STU100837,21,Female,7.63,82.4,1,56.4,49.0,54.0,60.6,1,0,2,7.1,2,1,0,872,0,68.3,52.8,65.0,54.6,87.0,165.7,58.4,Software Development,0
STU103548,23,Other,8.68,79.2,0,49.7,78.4,55.8,61.2,1,1,0,2.1,0,0,0,585,1,57.7,61.7,82.8,55.9,52.2,43.0,73.4,Cloud Computing,0
STU100966,20,Male,8.16,69.1,1,55.8,67.4,55.9,63.5,3,0,0,1.0,3,2,1,894,3,56.0,70.0,73.0,59.6,51.2,,69.5,Data Science,0
STU106577,22,Female,8.34,95.2,0,40.9,63.7,66.1,65.9,1,1,1,4.3,1,1,0,533,0,53.1,56.2,89.4,57.1,50.0,62.7,80.5,AI/ML,0
STU104070,19,Male,8.83,81.5,0,84.7,71.9,80.3,59.2,2,1,1,4.5,1,0,0,729,1,79.2,60.4,90.0,25.9,53.5,30.2,68.6,AI/ML,0
STU106722,23,Male,7.8,80.3,1,74.1,55.2,50.9,56.0,2,0,0,0.0,3,3,2,964,1,59.5,50.8,62.2,50.8,75.8,40.7,75.5,Business Analytics,0
STU103422,22,Male,7.0,73.0,0,60.0,85.9,66.6,65.8,2,0,1,1.8,2,4,0,964,1,76.0,62.2,64.4,58.9,51.0,17.3,86.5,Software Development,0
STU107964,20,Male,8.11,87.9,0,27.6,69.5,54.2,54.8,5,1,2,10.6,2,0,0,623,4,65.3,55.8,65.3,50.3,67.6,47.4,70.9,Data Science,0
STU102376,19,Female,7.38,90.6,0,20.7,43.7,22.9,54.3,2,1,0,0.5,1,0,0,218,4,76.0,50.8,57.0,62.3,48.3,12.3,74.9,Software Development,0
STU104328,22,Female,8.66,77.2,0,54.9,97.3,69.6,83.6,2,1,1,5.4,0,1,0,735,3,,55.1,81.8,68.2,61.9,60.9,84.8,Software Development,0
STU108163,20,Male,6.52,100.0,1,41.4,47.3,52.6,63.9,1,1,1,4.3,2,0,0,549,1,64.6,65.4,72.4,34.8,49.1,96.4,69.5,Business Analytics,0
STU105387,20,Female,7.68,73.2,0,46.1,58.3,57.8,61.4,4,2,1,6.2,4,1,1,787,3,66.2,64.8,68.4,45.5,46.1,35.1,67.8,Software Development,0
STU106509,21,Female,6.91,89.7,1,41.9,51.5,92.2,58.1,5,2,0,0.0,0,0,0,534,8,62.8,67.4,78.5,57.2,77.5,85.8,72.8,Data Science,0
STU106592,24,Male,7.94,85.3,1,70.3,39.2,58.9,70.7,1,0,1,1.5,1,2,1,928,2,44.7,34.5,74.0,46.7,39.3,,70.0,Software Development,0
STU102988,23,Female,8.0,92.4,0,58.6,32.5,83.5,59.4,3,1,1,2.5,2,2,0,380,2,,64.9,83.6,50.3,78.3,176.3,87.2,Cyber Security,0
STU102946,22,Female,7.65,78.5,0,34.2,42.7,74.3,54.4,0,0,0,0.0,2,1,1,692,0,56.5,42.9,71.5,57.4,57.0,82.3,53.1,Business Analytics,0
STU105430,24,Female,7.96,95.1,0,55.3,41.2,61.5,62.6,1,1,0,0.3,4,1,1,489,2,62.6,45.3,67.9,37.9,71.7,34.4,74.8,Cyber Security,0
STU100294,19,Female,7.52,92.2,0,50.7,27.0,82.6,65.4,4,3,2,8.7,3,1,0,618,4,63.4,66.6,94.3,36.8,34.1,61.5,91.7,Software Development,0
STU108218,20,Female,9.7,84.4,1,80.8,90.7,31.4,68.7,4,1,2,8.6,3,1,0,786,3,58.8,45.9,82.5,47.6,24.7,12.6,67.9,Data Science,0
STU108575,20,Female,7.13,84.9,1,64.5,51.6,73.0,54.5,2,1,1,1.4,1,0,0,922,1,71.2,73.5,93.8,63.6,25.1,87.5,76.2,Business Analytics,0
STU106065,24,Male,7.54,75.4,0,59.1,52.8,64.4,48.0,2,0,1,3.4,4,4,1,864,2,72.6,68.3,73.6,45.0,50.1,44.3,68.3,AI/ML,1
STU104636,20,Male,7.79,67.0,1,56.5,57.6,45.3,75.5,2,0,1,6.3,2,0,0,699,1,48.2,65.1,86.1,31.3,71.3,35.6,91.4,Data Science,0
STU105078,22,Female,8.36,90.9,1,63.8,50.2,65.6,57.8,4,2,2,7.5,1,1,0,965,6,61.6,63.3,75.0,39.2,61.7,34.7,77.1,Business Analytics,0
STU108133,20,Other,6.34,89.4,0,49.1,51.8,63.2,32.0,1,0,0,0.2,1,0,0,790,3,56.2,48.5,65.3,41.2,84.7,97.4,78.3,AI/ML,0
STU107639,21,Male,7.28,92.7,0,67.5,56.6,56.4,70.1,0,0,0,0.0,3,1,0,522,0,60.8,63.5,77.9,53.5,72.6,20.8,71.9,AI/ML,0
STU109373,21,Female,7.85,80.1,0,34.9,78.1,63.2,32.8,4,1,1,4.0,3,1,0,712,4,59.5,76.5,83.6,50.0,86.3,19.4,49.3,Business Analytics,0
STU104460,22,Male,7.16,72.1,0,37.3,58.3,44.8,36.3,1,0,0,0.0,1,0,0,556,1,58.5,65.5,70.5,57.9,76.7,54.3,77.9,Software Development,0
STU102207,21,Female,8.01,89.8,0,38.6,39.7,67.1,65.1,1,1,1,6.2,2,2,1,672,0,69.7,48.4,76.6,83.5,88.5,38.9,68.8,AI/ML,0
STU106928,21,Female,8.2,76.9,0,54.9,66.0,81.5,56.4,1,0,1,3.4,2,0,0,571,1,,60.8,88.4,71.0,45.4,16.4,93.1,Cloud Computing,0
STU100705,23,Male,7.28,68.1,1,78.3,44.9,42.2,38.7,5,0,2,5.0,3,0,0,563,6,91.3,79.8,71.2,56.7,51.6,31.7,64.5,Cyber Security,0
STU106989,21,Male,8.64,84.8,0,33.4,92.7,35.3,65.0,1,0,0,0.4,2,1,0,215,0,36.4,65.2,66.6,64.7,34.2,58.2,55.4,Software Development,0
STU103150,22,Male,8.53,91.0,0,86.0,68.1,42.3,50.6,3,1,3,11.0,1,2,1,922,2,,74.9,76.1,67.7,50.0,,68.3,Software Development,0
STU102223,22,Male,7.47,91.6,0,56.5,60.5,64.9,63.6,4,1,2,11.4,2,1,0,662,4,68.9,56.3,68.0,56.8,57.3,59.0,81.9,Software Development,1
STU109111,22,Female,8.88,83.4,0,54.6,100.0,33.3,64.6,1,1,0,0.1,2,0,0,613,0,68.9,58.1,52.2,55.1,56.8,27.7,61.8,Cloud Computing,1
STU103405,20,Female,6.52,94.3,0,40.1,45.8,56.7,49.6,1,1,1,2.7,6,3,2,866,0,,74.7,70.1,58.8,68.3,16.1,70.5,Software Development,0
STU102439,23,Male,6.5,100.0,1,48.8,81.1,35.4,64.6,4,1,0,1.5,0,1,0,446,5,66.9,57.9,52.9,68.1,48.2,30.0,80.8,Data Science,0
STU109586,22,Female,6.63,77.8,1,35.2,69.5,81.7,57.1,5,1,1,5.0,6,2,0,682,5,62.7,56.8,80.3,31.1,71.3,66.1,79.1,Software Development,0
STU105030,20,Male,6.84,100.0,1,48.6,31.0,75.9,40.0,1,1,1,6.2,1,0,0,1180,2,65.3,63.3,78.1,53.1,33.3,97.7,86.2,Business Analytics,0
STU109190,23,Female,8.54,79.9,0,50.9,59.8,49.4,67.2,0,0,4,13.5,5,1,0,845,1,87.8,58.4,78.3,25.8,84.4,64.6,87.3,Business Analytics,0
STU107975,23,Male,6.92,79.3,0,36.8,42.8,62.0,35.9,2,2,2,9.2,3,2,0,1055,3,83.9,48.8,58.3,33.2,64.1,166.2,61.7,AI/ML,0
STU107830,21,Male,7.26,89.5,2,66.7,40.9,71.4,20.8,3,1,3,16.7,1,1,0,984,4,71.4,64.8,63.4,42.0,65.7,6.1,54.2,Data Science,0
STU108045,21,Male,8.52,88.7,2,62.7,66.2,84.0,61.4,8,2,0,2.7,2,0,0,974,8,66.0,83.2,86.7,61.2,100.0,30.6,81.6,Business Analytics,0
STU104072,22,Male,7.7,75.6,1,51.4,52.1,73.9,64.2,2,0,1,1.5,5,1,0,195,1,68.6,69.3,78.3,49.0,43.5,35.8,69.9,AI/ML,1
STU108799,22,Female,7.04,73.8,1,55.7,42.9,55.3,40.3,2,1,2,10.2,1,1,1,532,4,58.8,52.2,80.6,85.8,52.6,40.3,79.3,AI/ML,0
STU108012,20,Female,8.81,96.4,1,71.2,57.0,90.7,80.4,2,0,0,0.3,4,4,0,709,2,57.7,53.0,84.5,74.6,58.6,70.8,78.9,Data Science,1
STU104950,23,Male,7.72,88.9,2,54.6,72.3,41.6,40.9,2,1,0,0.2,3,1,0,685,2,55.5,68.0,55.7,45.0,45.5,43.6,67.5,AI/ML,0
STU107452,20,Male,7.48,100.0,1,47.8,62.9,48.9,82.9,4,2,0,1.1,1,1,1,663,6,60.8,62.2,59.4,59.8,51.3,22.6,95.7,Cyber Security,0
STU104670,21,Male,7.4,78.2,0,30.8,60.5,63.2,48.0,1,0,2,7.3,4,2,0,157,1,69.2,53.8,73.1,75.8,66.2,69.3,82.9,Software Development,0
STU106581,20,Female,7.54,89.5,0,30.3,56.0,61.7,55.8,2,0,0,0.1,1,1,0,687,2,47.0,65.2,70.6,60.3,41.7,46.3,80.8,Software Development,1
STU104093,21,Male,6.2,68.5,2,56.2,,69.4,15.1,0,0,1,1.6,2,2,0,1123,2,72.7,43.1,77.1,65.7,68.5,42.9,58.9,Data Science,1
STU100712,22,Female,6.54,78.3,0,48.4,56.4,66.1,28.3,1,0,2,10.7,1,1,0,597,0,59.9,45.4,72.4,48.5,82.3,40.5,88.2,Business Analytics,0
