age,cgpa,python_score,sql_score,statistics_score,ml_score,dl_score,genai_score,ml_projects,end_to_end_projects,deployed_projects,kaggle_competitions,best_competition_rank,hackathons_attended,hackathons_won,finalist_status,github_projects,internship_months,certifications,ml_interview_score,communication_score,dsa_score,resume_score,mock_interview_score,hackathon_win_rate,hackathon_finalist_rate,has_won_hackathon,deployment_rate,end_to_end_rate,has_deployed_project,has_competed_kaggle,competition_rank_missing,avg_core_skill_score,real_world_exposure,avg_interview_readiness,degree,job_ready,career_track,split
20,5.91,9.0,7.4,3.2,8.0,0.9,2.8,7,2,1,1,496.0,7,0,1,6,1,1.0,3.9,4.7,7.8,3.8,4.1,0.0,0.14285714285714285,0,0.5,0.2857142857142857,1,1,0,5.216666666666666,5,4.859999999999999,B.Tech,0,5,train
25,8.88,6.4,1.8,5.8,4.4,6.5,2.8,1,0,0,2,8.0,4,0,1,5,1,2.0,3.2,6.6,5.6,5.0,6.1,0.0,0.25,0,0.0,0.0,0,1,0,4.616666666666666,1,5.3,B.Tech,0,5,train
23,7.28,5.8,4.3,3.6,7.7,3.3,8.2,3,1,0,0,,3,0,0,6,1,2.0,6.8,6.7,7.1,6.3,4.6,0.0,0.0,0,0.0,0.3333333333333333,0,0,1,5.483333333333333,2,6.3,B.Tech,1,4,train
25,6.82,4.6,8.0,2.6,8.8,8.1,0.9,4,1,0,1,80.0,5,0,1,4,3,4.0,8.6,8.2,1.9,6.4,1.6,0.0,0.2,0,0.0,0.25,0,1,0,5.5,4,5.339999999999999,B.Tech,1,3,train
23,8.4,6.3,5.1,5.8,4.7,6.4,2.0,6,1,0,3,108.0,3,1,2,6,4,1.0,3.5,4.1,4.7,6.0,7.0,0.3333333333333333,0.6666666666666666,1,0.0,0.16666666666666666,0,1,0,5.05,5,5.0600000000000005,B.Tech,1,3,train
20,8.36,7.8,5.1,6.5,4.5,5.3,1.3,4,1,1,0,,2,0,1,6,2,3.0,7.9,6.5,6.2,7.3,5.6,0.0,0.5,0,1.0,0.25,1,0,1,5.083333333333333,5,6.7,M.Tech,1,2,train
21,6.69,6.0,4.9,5.4,8.0,5.4,7.2,2,0,0,2,102.0,8,2,4,1,3,3.0,7.1,6.3,7.8,8.0,6.6,0.25,0.5,1,0.0,0.0,0,1,0,6.150000000000001,3,7.159999999999999,B.Tech,0,5,train
22,7.53,7.4,6.2,2.3,4.2,5.8,6.9,4,0,0,2,270.0,3,0,0,1,2,2.0,5.9,5.8,7.1,8.3,5.9,0.0,0.0,0,0.0,0.0,0,1,0,5.466666666666668,2,6.6,B.Tech,0,5,train
21,8.12,6.5,4.8,6.2,6.2,6.2,3.3,1,1,1,1,256.0,1,0,1,5,1,4.0,6.7,6.0,4.3,4.6,3.3,0.0,1.0,0,1.0,1.0,1,1,0,5.533333333333332,4,4.98,BCA,0,5,train
20,7.49,4.7,4.3,8.4,3.7,1.8,7.6,3,1,0,0,,3,0,1,4,2,0.0,6.5,,6.6,5.2,8.5,0.0,0.3333333333333333,0,0.0,0.3333333333333333,0,0,1,5.083333333333333,3,6.7,MCA,0,5,train
24,6.52,6.8,3.8,5.7,4.7,9.0,3.0,1,1,1,1,337.0,0,0,0,3,3,2.0,2.6,3.7,5.1,3.5,6.4,0.0,0.0,0,1.0,1.0,1,1,0,5.5,6,4.26,B.Tech,0,5,train
23,8.02,6.9,5.6,9.7,7.1,6.6,7.4,4,0,0,1,277.0,8,0,2,3,2,1.0,7.3,7.6,5.4,5.1,4.7,0.0,0.25,0,0.0,0.0,0,1,0,7.216666666666666,2,6.02,B.Tech,1,0,train
24,6.97,5.0,6.0,8.4,5.8,0.3,6.8,3,0,0,1,485.0,4,1,1,5,4,2.0,9.3,5.8,1.5,7.8,6.2,0.25,0.25,1,0.0,0.0,0,1,0,5.383333333333333,4,6.12,B.Tech,1,0,train
23,8.41,5.2,5.9,4.4,4.7,2.8,6.3,1,1,1,1,275.0,3,1,2,5,1,4.0,8.6,5.7,4.9,9.1,7.3,0.3333333333333333,0.6666666666666666,1,1.0,1.0,1,1,0,4.883333333333334,4,7.12,B.Tech,0,5,train
20,7.69,3.6,5.9,7.5,6.3,3.2,4.8,1,1,1,0,,2,0,0,4,1,2.0,6.2,7.5,7.7,6.6,5.7,0.0,0.0,0,1.0,1.0,1,0,1,5.216666666666667,4,6.74,MCA,0,5,train
21,7.72,4.9,3.5,5.2,5.5,8.1,4.6,1,1,1,0,,2,0,0,5,2,5.0,2.5,4.2,8.7,5.9,1.5,0.0,0.0,0,1.0,1.0,1,0,1,5.300000000000001,5,4.56,B.Tech,0,5,train
21,8.07,4.8,5.3,9.4,6.7,6.1,3.5,1,1,1,1,347.0,5,0,1,1,0,2.0,3.4,6.0,4.4,5.2,5.7,0.0,0.2,0,1.0,1.0,1,1,0,5.966666666666666,3,4.9399999999999995,B.Tech,1,2,train
20,7.22,7.7,4.6,4.8,9.9,5.5,4.7,1,1,0,1,298.0,2,0,1,6,2,7.0,3.2,5.1,8.7,5.0,4.7,0.0,0.5,0,0.0,1.0,0,1,0,6.2,3,5.34,M.Tech,1,1,train
21,7.22,5.6,7.8,7.5,5.2,5.2,10.0,5,0,0,0,,6,0,0,4,3,3.0,5.7,5.4,6.3,5.4,5.4,0.0,0.0,0,0.0,0.0,0,0,1,6.883333333333333,3,5.640000000000001,B.Sc,1,4,train
25,7.65,4.7,9.7,6.3,8.1,2.1,1.3,1,0,0,1,219.0,2,0,1,2,0,0.0,4.2,7.7,6.3,6.5,6.3,0.0,0.5,0,0.0,0.0,0,1,0,5.366666666666666,0,6.2,BCA,0,5,train
25,6.83,6.8,3.3,0.0,5.4,4.1,3.9,1,1,1,1,13.0,0,0,0,5,0,3.0,2.7,7.4,2.7,6.4,7.0,0.0,0.0,0,1.0,1.0,1,1,0,3.9166666666666665,3,5.24,M.Tech,0,5,train
21,8.19,8.3,7.4,5.5,6.7,7.4,4.9,2,0,0,1,347.0,4,0,2,2,3,0.0,5.2,5.4,5.4,9.1,6.7,0.0,0.5,0,0.0,0.0,0,1,0,6.7,3,6.36,BCA,1,3,train
25,7.27,6.1,3.5,3.0,3.6,7.0,5.2,5,2,1,2,194.0,3,1,1,9,0,3.0,4.4,7.4,7.6,5.5,8.2,0.3333333333333333,0.3333333333333333,1,0.5,0.4,1,1,0,4.733333333333333,4,6.619999999999999,B.Tech,1,2,train
25,8.47,7.0,8.8,8.1,3.7,4.1,2.2,4,0,0,2,140.0,2,0,0,6,2,0.0,5.3,5.5,6.3,5.2,5.2,0.0,0.0,0,0.0,0.0,0,1,0,5.6499999999999995,2,5.5,B.Sc,0,5,train
23,7.75,8.9,4.6,5.4,7.6,4.1,5.3,1,1,0,1,12.0,4,1,1,3,1,2.0,9.3,7.0,7.4,9.0,4.3,0.25,0.25,1,0.0,1.0,0,1,0,5.983333333333333,2,7.4,BCA,1,1,train
23,8.92,6.7,3.4,3.9,5.0,4.7,2.8,4,1,0,1,383.0,3,1,1,5,0,0.0,7.5,8.2,4.6,3.9,3.5,0.3333333333333333,0.3333333333333333,1,0.0,0.25,0,1,0,4.416666666666667,1,5.539999999999999,B.Tech,0,5,train
25,6.28,6.1,6.9,8.0,7.1,3.9,7.7,1,1,0,0,,2,1,1,3,1,2.0,5.6,8.2,4.1,6.8,9.4,0.5,0.5,1,0.0,1.0,0,0,1,6.616666666666667,2,6.82,M.Tech,0,5,train
25,8.66,6.0,2.9,5.6,5.4,3.7,2.7,2,1,0,2,113.0,2,1,2,5,2,,7.8,6.9,1.6,4.2,4.4,0.5,1.0,1,0.0,0.5,0,1,0,4.383333333333333,3,4.9799999999999995,B.Tech,0,5,train
25,6.2,6.7,6.6,6.3,5.8,3.6,6.3,0,0,0,1,22.0,1,1,1,4,0,2.0,4.8,9.0,5.5,5.6,6.2,1.0,1.0,1,0.0,0.0,0,1,0,5.883333333333334,0,6.22,B.Tech,1,0,train
24,8.99,6.0,7.6,4.1,3.3,4.5,2.6,2,1,0,3,161.0,0,0,0,3,1,1.0,5.6,7.3,5.8,4.9,8.7,0.0,0.0,0,0.0,0.5,0,1,0,4.683333333333334,2,6.459999999999999,M.Tech,0,5,train
22,6.81,9.3,3.4,7.3,5.2,4.6,4.4,0,0,0,0,,0,0,0,4,2,3.0,5.0,4.9,4.4,3.2,0.0,0.0,0.0,0,0.0,0.0,0,0,1,5.699999999999999,2,3.5,M.Tech,0,5,train
21,7.27,7.0,6.3,7.7,6.3,6.2,5.4,2,2,0,2,441.0,3,1,1,5,2,4.0,5.8,5.5,3.9,7.0,4.6,0.3333333333333333,0.3333333333333333,1,0.0,1.0,0,1,0,6.483333333333333,4,5.360000000000001,B.Sc,1,0,train
20,7.6,5.3,5.5,4.6,5.0,2.1,3.7,2,1,1,2,145.0,4,1,2,5,0,4.0,6.2,6.0,3.6,7.5,7.1,0.25,0.5,1,1.0,0.5,1,1,0,4.366666666666666,3,6.08,BCA,1,1,train
23,8.88,6.4,5.0,5.5,6.9,4.1,3.1,2,0,0,3,354.0,2,0,0,2,1,4.0,3.9,4.1,2.8,3.7,5.8,0.0,0.0,0,0.0,0.0,0,1,0,5.166666666666667,1,4.0600000000000005,MCA,0,5,train
20,6.94,5.9,4.1,7.0,6.1,3.6,6.2,2,1,0,2,383.0,3,0,0,2,1,,6.4,9.5,4.5,7.4,6.3,0.0,0.0,0,0.0,0.5,0,1,0,5.483333333333334,2,6.8199999999999985,B.Sc,0,5,train
21,8.02,7.4,7.4,10.0,6.2,1.5,5.0,3,0,0,3,384.0,3,1,1,4,1,2.0,4.2,7.2,1.5,5.7,5.2,0.3333333333333333,0.3333333333333333,1,0.0,0.0,0,1,0,6.25,1,4.76,B.Tech,0,5,train
25,8.91,5.0,4.7,8.0,3.3,4.7,0.0,1,0,0,4,117.0,5,0,2,5,4,3.0,5.9,0.8,6.8,3.7,5.1,0.0,0.4,0,0.0,0.0,0,1,0,4.283333333333333,4,4.459999999999999,MCA,0,5,train
22,8.32,5.2,6.3,5.9,3.0,2.1,5.9,2,0,0,3,110.0,1,0,1,3,0,1.0,5.7,,0.3,4.9,4.9,0.0,1.0,0,0.0,0.0,0,1,0,4.733333333333333,0,3.95,MCA,0,5,train
22,8.42,6.8,6.0,6.8,8.0,7.0,0.7,5,1,1,1,424.0,3,2,3,2,2,2.0,6.3,5.4,5.5,6.7,7.5,0.6666666666666666,1.0,1,1.0,0.2,1,1,0,5.883333333333334,5,6.279999999999999,B.Sc,1,3,train
20,7.89,5.9,4.4,6.8,5.6,7.2,4.3,2,0,0,3,408.0,6,1,2,3,3,3.0,6.6,6.0,6.5,8.0,7.1,0.16666666666666666,0.3333333333333333,1,0.0,0.0,0,1,0,5.7,3,6.840000000000001,MCA,1,3,train
23,8.11,10.0,6.7,6.8,6.8,3.3,9.6,1,0,0,0,,2,0,0,2,5,2.0,6.8,7.7,3.7,6.2,2.7,0.0,0.0,0,0.0,0.0,0,0,1,7.2,5,5.42,B.Tech,1,4,train
24,8.1,5.9,2.5,3.4,4.3,5.1,5.2,2,0,0,3,375.0,2,0,1,6,2,2.0,6.7,4.6,4.6,8.5,2.3,0.0,0.5,0,0.0,0.0,0,1,0,4.4,2,5.34,B.Sc,0,5,train
25,5.03,5.4,3.7,8.3,3.8,6.8,6.0,2,1,1,1,223.0,4,0,2,5,1,1.0,5.2,10.0,8.8,8.2,6.6,0.0,0.5,0,1.0,0.5,1,1,0,5.666666666666667,4,7.760000000000001,B.Tech,1,3,train
23,7.6,5.9,5.3,7.2,7.3,8.2,5.1,2,0,0,0,,2,1,1,2,0,2.0,2.6,9.3,7.1,8.4,6.0,0.5,0.5,1,0.0,0.0,0,0,1,6.5,0,6.68,MCA,1,3,train
25,7.04,6.1,8.0,6.4,5.5,3.4,7.4,1,1,0,4,487.0,3,0,2,1,2,4.0,5.5,2.5,6.4,4.3,2.1,0.0,0.6666666666666666,0,0.0,1.0,0,1,0,6.133333333333333,3,4.16,B.Sc,0,5,train
22,7.75,8.9,3.8,6.6,5.9,2.1,3.9,1,1,0,1,187.0,4,1,1,6,1,3.0,6.5,4.5,5.9,5.9,4.3,0.25,0.25,1,0.0,1.0,0,1,0,5.199999999999999,2,5.42,B.Tech,0,5,train
23,8.15,4.6,7.5,7.8,4.7,5.8,4.3,3,1,1,3,378.0,2,0,1,2,0,1.0,5.1,8.3,3.8,5.6,6.4,0.0,0.5,0,1.0,0.3333333333333333,1,1,0,5.783333333333332,3,5.839999999999999,MCA,1,2,train
24,6.44,5.0,5.6,5.0,2.2,4.8,6.5,4,1,0,4,238.0,2,0,0,9,3,3.0,8.9,5.1,7.1,,5.7,0.0,0.0,0,0.0,0.25,0,1,0,4.8500000000000005,4,6.7,B.Tech,0,5,train
21,,6.1,9.1,5.9,7.6,3.7,5.3,5,2,0,3,70.0,3,0,2,3,3,5.0,7.1,6.9,4.9,4.1,8.2,0.0,0.6666666666666666,0,0.0,0.4,0,1,0,6.283333333333334,5,6.24,M.Tech,1,2,train
25,7.69,6.2,6.5,5.8,5.8,3.8,2.3,2,0,0,1,263.0,3,0,2,1,1,2.0,7.3,6.4,5.8,,7.0,0.0,0.6666666666666666,0,0.0,0.0,0,1,0,5.066666666666667,1,6.625,B.Tech,0,5,train
21,5.61,6.1,6.0,2.2,6.1,3.7,3.2,3,0,0,2,78.0,4,0,1,2,6,2.0,7.1,7.4,5.0,9.9,9.3,0.0,0.25,0,0.0,0.0,0,1,0,4.55,6,7.74,M.Tech,1,3,train
23,6.26,7.4,6.0,7.8,5.1,3.4,4.9,3,2,0,1,448.0,2,1,1,4,4,2.0,4.9,5.8,2.8,8.7,10.0,0.5,0.5,1,0.0,0.6666666666666666,0,1,0,5.766666666666666,6,6.44,B.Tech,1,0,train
25,7.32,5.0,4.2,6.5,8.0,7.5,4.9,0,0,0,2,464.0,4,1,2,4,3,4.0,4.8,7.1,6.3,10.0,4.5,0.25,0.5,1,0.0,0.0,0,1,0,6.016666666666667,3,6.540000000000001,B.Tech,1,1,train
25,7.95,5.9,5.7,7.0,7.1,4.8,2.9,6,3,0,3,342.0,2,0,1,3,3,,4.2,10.0,8.8,2.9,5.0,0.0,0.5,0,0.0,0.5,0,1,0,5.566666666666667,6,6.18,B.Tech,1,2,train
22,7.58,4.8,8.1,5.5,4.4,4.9,4.2,2,2,1,3,266.0,2,0,0,4,2,0.0,7.1,9.0,6.2,5.5,6.3,0.0,0.0,0,0.5,1.0,1,1,0,5.3166666666666655,6,6.82,B.Tech,1,0,train
21,6.83,8.3,6.6,4.9,5.2,6.5,6.2,7,2,0,1,407.0,3,0,0,5,2,3.0,5.0,7.9,6.7,6.8,7.4,0.0,0.0,0,0.0,0.2857142857142857,0,1,0,6.283333333333334,4,6.760000000000001,M.Tech,1,4,train
25,5.92,4.7,3.8,8.0,6.7,1.6,3.7,4,1,0,0,,2,0,0,7,0,4.0,2.4,8.7,4.5,6.3,5.6,0.0,0.0,0,0.0,0.25,0,0,1,4.75,1,5.5,M.Tech,0,5,train
20,7.39,6.5,6.8,6.6,3.6,8.4,5.6,4,0,0,1,366.0,5,0,2,0,2,2.0,4.4,5.6,5.2,8.1,5.0,0.0,0.4,0,0.0,0.0,0,1,0,6.25,2,5.659999999999999,MCA,0,5,train
20,6.9,7.5,6.0,5.7,7.4,5.8,6.7,2,1,0,0,,3,1,2,5,1,1.0,6.2,5.3,6.5,4.7,8.2,0.3333333333333333,0.6666666666666666,1,0.0,0.5,0,0,1,6.516666666666667,2,6.18,B.Tech,1,3,train
21,7.51,4.9,7.8,5.4,4.1,6.2,7.7,5,0,0,0,,3,0,0,3,0,4.0,6.1,7.9,9.2,6.1,9.9,0.0,0.0,0,0.0,0.0,0,0,1,6.016666666666667,0,7.839999999999999,B.Sc,1,4,train
20,5.74,6.4,2.3,1.3,4.7,3.7,3.5,2,2,1,1,281.0,1,0,1,3,2,2.0,2.2,7.7,3.0,9.6,7.1,0.0,1.0,0,0.5,1.0,1,1,0,3.65,6,5.92,B.Tech,0,5,train
25,8.77,6.6,6.4,5.6,6.2,2.9,5.4,2,0,0,3,354.0,6,1,2,2,1,6.0,9.6,6.2,7.8,5.5,5.0,0.16666666666666666,0.3333333333333333,1,0.0,0.0,0,1,0,5.516666666666667,1,6.82,B.Sc,0,5,train
20,8.53,5.8,7.6,8.9,2.1,8.0,5.3,1,1,0,1,66.0,6,1,4,4,2,1.0,3.8,4.8,5.7,4.9,5.0,0.16666666666666666,0.6666666666666666,1,0.0,1.0,0,1,0,6.283333333333332,3,4.840000000000001,B.Tech,1,0,train
23,7.87,5.1,4.8,6.2,7.1,2.6,7.5,2,1,1,2,425.0,2,0,0,7,4,4.0,7.5,7.5,4.4,7.1,8.6,0.0,0.0,0,1.0,0.5,1,1,0,5.55,7,7.0200000000000005,BCA,1,2,train
22,5.86,4.7,2.0,8.9,4.5,5.5,6.1,2,1,0,1,235.0,1,0,0,1,2,2.0,6.0,8.5,6.2,4.9,2.0,0.0,0.0,0,0.0,0.5,0,1,0,5.283333333333334,3,5.5200000000000005,B.Tech,0,5,train
